id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,40.77185,0.0,Entire home/apt,140,2,17,2019-06-17,0.16,1,292
57740,Quiet & Clean Retreat in the City,275459,I,Manhattan,East Village,40.73012,0.0,Entire home/apt,239,3,7,2019-05-24,0.07,1,351
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,40.6585,0.0,Private room,135,2,21,2019-05-17,0.26,1,272
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,40.76193,0.0,Private room,120,7,17,2019-05-08,0.3,1,341
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,40.72052,0.0,Entire home/apt,150,3,41,2019-01-02,0.39,1,244
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Manhattan,Chinatown,40.71756,0.0,Entire home/apt,250,4,18,2019-07-01,0.18,2,265
60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,40.73194,0.0,Entire home/apt,225,5,10,2019-05-11,0.1,1,91
60673,Private Room/bath Luxurious Harlem,249372,Cynthia,Manhattan,Harlem,40.81583,0.0,Private room,175,2,1,2018-10-07,0.11,1,365
60794,"Bright and spacious, garden below!",293394,Rachel,Manhattan,Upper West Side,40.80021,0.0,Entire home/apt,195,4,4,2017-08-25,0.04,1,0
61167,Colorful Private One Bedroom Apt,295760,Greta,Manhattan,Little Italy,40.71961,0.0,Entire home/apt,135,2,21,2015-12-12,0.2,1,0
63546,Large and Cozy Private Bedroom,308652,Antonín,Brooklyn,Kensington,40.64106,0.0,Private room,39,1,45,2019-05-16,0.46,2,365
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",312288,Paula,Manhattan,Inwood,40.86648,0.0,Private room,75,7,0,2019-06-23,0.72,2,323
64015,Prime East Village 1 Bedroom,146944,David,Manhattan,East Village,40.72807,0.0,Entire home/apt,200,3,0,2019-06-23,0.72,1,0
65556,"Room in S3rd/Bedford, Williamsburg",320422,Marlon,Brooklyn,Williamsburg,40.71368,0.0,Private room,60,3,0,2019-06-23,0.72,1,0
65562,CHARMING EAST VILLAGE 2 (or 1) BR,320450,Mary D,Manhattan,East Village,40.72956,0.0,Entire home/apt,129,7,5,2019-01-03,0.15,1,231
65615,Farmhouse Apartment in Williamsburg,320761,Valerie,Brooklyn,Williamsburg,40.71069,0.0,Entire home/apt,130,10,49,2019-06-29,0.48,1,152
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,Eric,Manhattan,Harlem,40.82888,0.0,Private room,75,3,20,2019-01-02,0.26,1,364
65834,Beautiful 1 Bedroom Apt Park Slope,321934,Jessica,Brooklyn,Park Slope,40.67319,0.0,Entire home/apt,175,2,11,2013-05-02,0.11,1,246
66008,CHARMING CARROLL GARDENS APT.,322884,Melissa,Brooklyn,Carroll Gardens,40.67846,0.0,Entire home/apt,190,3,51,2019-07-01,0.57,1,288
66451,**Fantastic Williamsburg Apt**,325389,Luis Fernando,Brooklyn,Williamsburg,40.71031,0.0,Entire home/apt,140,2,9,2019-02-16,0.11,1,254
68735,Prewar Penthouse w Private Terrace,342054,Violetta,Manhattan,Upper West Side,40.78971,0.0,Entire home/apt,195,11,30,2019-06-13,0.32,1,249
68900,Bright Beautiful Brooklyn,343250,Jason,Brooklyn,Greenpoint,40.73119,0.0,Private room,125,3,6,2016-11-13,0.1,1,325
69921,Brooklyn Writer's Nook,155689,Joab,Brooklyn,Bushwick,40.70514,0.0,Private room,70,5,47,2019-06-29,0.49,1,203
70128,"Large, Sunny Room East Village NYC",354330,Eyal,Manhattan,East Village,40.73198,0.0,Private room,65,3,52,2019-01-10,0.63,1,5
71010,All That Jazz. Uptown style on Sugar Hill.,361855,Kurt,Manhattan,Washington Heights,40.83494,0.0,Entire home/apt,250,3,32,2019-05-24,0.43,2,276
71384,Gigantic Private Brooklyn Loft!,365153,Ben,Brooklyn,Greenpoint,40.72898,0.0,Entire home/apt,229,1,50,2014-05-13,0.5,1,188
72265,Private room in cozy Greenpoint,340692,Vanessa,Brooklyn,Greenpoint,40.72646,0.0,Private room,59,3,29,2019-06-16,0.36,1,15
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,Allison,Brooklyn,Greenpoint,40.72488,0.0,Private room,55,2,1,2011-03-28,0.01,1,0
77936,Hells Kitchen Garden of Eden,134355,Moss Owen,Manhattan,Hell's Kitchen,40.76248,0.0,Private room,150,3,36,2019-06-14,0.36,1,49
78919,"Historic House Boerum Hill, BK, NYC",422561,Nancy,Brooklyn,Boerum Hill,40.68674,0.0,Entire home/apt,135,4,6,2016-02-05,0.1,1,0
82928,BEAUTIFUL 2 BEDROOM APARTMENT,451545,Ruthven,Brooklyn,Bedford-Stuyvesant,40.6824,0.0,Entire home/apt,185,3,46,2019-07-02,1.07,1,248
83847,East Village Designer's 1-BR APT,410094,Yvette,Manhattan,East Village,40.72451,0.0,Entire home/apt,225,2,33,2019-01-02,0.33,1,0
84059,So Much Room in Brooklyn,459054,Famous,Brooklyn,Crown Heights,40.67591,0.0,Entire home/apt,150,5,5,2018-07-22,0.05,1,0
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",35375,Savannah,Queens,Astoria,40.75961,0.0,Private room,80,1,42,2019-07-06,1.21,2,365
95747,Lovely 1BR in Tree-lined WBurg,509341,Tessa,Brooklyn,Williamsburg,40.71055,0.0,Entire home/apt,140,7,13,2016-07-18,0.13,1,0
95883,Spacious Loft in Clinton Hill,509918,Eduardo,Brooklyn,Bedford-Stuyvesant,40.69465,0.0,Entire home/apt,200,5,4,2018-12-26,0.07,1,9
96471,"The Brooklyn Waverly, One Bedroom",116599,Sahr,Brooklyn,Clinton Hill,40.68413,0.0,Private room,165,4,11,2019-06-07,0.11,3,365
98330,LOVELY APARTMENT IN THE HEART OF NY,31374,Shon,Manhattan,Kips Bay,40.73877,0.0,Entire home/apt,125,4,1,2012-01-03,0.01,3,181
100184,Bienvenue,526653,Michael,Queens,Queens Village,40.72413,0.0,Private room,50,1,43,2019-07-08,0.45,1,88
101053,Colorful Artistic Williamsburg Apt,530032,Lee And Tara,Brooklyn,Williamsburg,40.71125,0.0,Private room,100,3,31,2019-03-01,0.31,1,0
107895,Riverside Charm with Fire Place,3088389,Kai,Manhattan,Upper West Side,40.77944,0.0,Entire home/apt,120,5,49,2019-06-19,0.56,1,201
112100,Sunny 3BR Apt Ideal for Family  ,572527,Marine,Brooklyn,Crown Heights,40.67539,0.0,Entire home/apt,165,7,3,2013-01-01,0.03,1,157
112304,Cozy Private Room in West Harlem!,573316,Kelli,Manhattan,Harlem,40.8054,0.0,Private room,90,1,1,2016-01-02,0.02,1,0
112359,UES Quiet & Spacious 1 bdrm for 4,571952,Olivia,Manhattan,Upper East Side,40.78491,0.0,Entire home/apt,225,2,56,2018-12-28,0.57,1,312
114229,Lower East Side 2 Bedroom Apt,314941,Tony,Manhattan,Lower East Side,40.71895,0.0,Entire home/apt,211,1,52,2019-06-08,0.6,3,361
114969,"Manhattan Studio, Perfect Location",582598,Andrey,Manhattan,Midtown,40.75579,0.0,Entire home/apt,145,6,39,2018-09-24,0.4,1,0
115748,1 BDRM Apt-Weekend Sublease,585166,Lilly,Queens,Astoria,40.76434,0.0,Entire home/apt,110,4,30,2019-06-16,0.32,1,363
118430,Heart of Meatpacking & Chelsea,585458,Paul,Manhattan,Chelsea,40.74412,0.0,Private room,290,2,35,2019-01-03,0.36,1,20
118680,Spacious East Village apt near it all,599354,Bobby,Manhattan,East Village,40.73067,0.0,Private room,87,2,0,2019-06-23,0.72,1,0
120362,Williamsburg apartment right by the subway,138069,Itamar,Brooklyn,Williamsburg,40.70665,0.0,Entire home/apt,190,4,50,2019-07-02,0.51,1,331
121687,Spacious Brooklyn Loft - 2 Bedroom,262812,Vikram,Brooklyn,Williamsburg,40.72063,0.0,Entire home/apt,200,2,29,2019-06-23,0.31,1,36
121861,"Park Slope Apt:, Spacious 2 bedroom",611716,Elizabeth,Brooklyn,Park Slope,40.67644,0.0,Entire home/apt,165,2,23,2016-05-02,0.23,2,7
125163,Authentic New York City Living ,622855,Rodney,Brooklyn,Bedford-Stuyvesant,40.68569,0.0,Private room,99,2,38,2019-06-03,0.54,2,307
126816,Gorgeous Upper West Side Apartment,620288,Eric,Manhattan,Upper West Side,40.79918,0.0,Private room,85,1,3,2014-11-06,0.03,1,0
132516,Forest Hills Apt minutes to midtown Manhattan,85330,Jean,Queens,Forest Hills,40.70925,0.0,Entire home/apt,97,3,28,2019-07-01,1.21,3,209
132570,Spacious West Village 1 b/room King,651390,Catherine,Manhattan,West Village,40.73215,0.0,Entire home/apt,170,4,24,2017-12-26,0.25,1,0
132695,Perfect Williamsburg Summer Haven,507186,Holly,Brooklyn,Williamsburg,40.71109,0.0,Entire home/apt,125,2,15,2016-06-06,0.15,1,0
134934,Prime Williamsburg Apartment,652842,Giovanni,Brooklyn,Williamsburg,40.71823,0.0,Entire home/apt,225,10,22,2019-05-30,0.38,1,52
135706,The Ground Studio - West Side,665013,Jeff,Manhattan,Chelsea,40.74488,0.0,Entire home/apt,132,4,10,2017-01-01,0.1,1,0
136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,663384,Irena,Brooklyn,Park Slope,40.67632,0.0,Entire home/apt,250,7,18,2019-05-27,0.21,1,18
138216,Sunny and Spacious Designer's Home,674970,Michael,Brooklyn,Greenpoint,40.72212,0.0,Entire home/apt,141,5,8,2018-07-08,0.21,1,9
142069,"EAST VILLAGE STUDIO, sunny & quiet",277747,Josh,Manhattan,East Village,40.72485,0.0,Entire home/apt,150,4,22,2014-11-10,0.23,1,0
144087,LUXURY OF THE HORIZON,616825,Rinaldo,Manhattan,Harlem,40.80473,0.0,Entire home/apt,259,8,17,2019-05-18,0.17,1,343
144148,1 Bdrm in 4 Bdrm dupelx/roof deck,299755,Jonathan,Manhattan,East Village,40.72217,0.0,Private room,96,1,34,2016-01-05,0.58,1,0
145064,The Heart of Prime Williamsburg,404424,Oliver,Brooklyn,Williamsburg,40.71943,0.0,Entire home/apt,145,7,8,2014-06-06,0.08,1,0
145188,Parisian apartment in Chelsea,703156,Kristin,Manhattan,Chelsea,40.74249,0.0,Entire home/apt,200,4,0,2019-06-23,0.72,1,0
145994,Cozy 2 Bedroom with Private Garden,706418,Carolyn,Manhattan,Upper West Side,40.79264,0.0,Entire home/apt,95,5,2,2018-07-06,0.08,1,0
146754,Three-bedroom house in a quiet neighborhood,709434,Meighan,Brooklyn,Windsor Terrace,40.65749,0.0,Entire home/apt,250,4,52,2019-04-27,0.72,1,188
148201,NYC - Sunny Greenwich Village 1br,715807,John,Manhattan,Greenwich Village,40.72831,0.0,Entire home/apt,175,3,18,2013-05-31,0.19,1,0
149287,Your own apartment off Park Avenue,720320,Nancy,Manhattan,Upper East Side,40.78508,0.0,Entire home/apt,250,4,0,2019-06-23,0.72,1,0
150804,Lower East Side 2 Bed Apt.,726333,Peter,Manhattan,Lower East Side,40.72008,0.0,Entire home/apt,250,4,19,2019-07-06,0.2,1,0
152071,Park Slope Apartment,731855,Wendy,Brooklyn,Park Slope,40.67359,0.0,Entire home/apt,150,2,0,2019-06-23,0.72,1,8
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,731904,Ewelina,Manhattan,East Village,40.72674,0.0,Private room,95,7,25,2019-02-12,0.3,1,359
154934,Harlem/Hamilton Heights Cozy Room,745069,Kimberly,Manhattan,Harlem,40.82426,0.0,Private room,75,3,38,2018-05-08,0.42,3,365
158290,Clinton Hill + Free Coffee = #smile,759583,Pepe,Brooklyn,Clinton Hill,40.68288,0.0,Private room,75,3,43,2019-05-20,0.44,2,365
158913,"Nice, cozy, neat apt Greenpoint,BK",762563,Lennny & Megan,Brooklyn,Greenpoint,40.72489,0.0,Entire home/apt,130,5,4,2015-03-13,0.05,1,0
159815,Red Room for two in Brownstone for $1355/mo,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.6798,0.0,Private room,80,1,39,2019-06-24,0.41,3,218
159913,"Chelsea living, 2BR best location",759883,Kaye,Manhattan,Chelsea,40.74346,0.0,Private room,150,2,37,2019-07-03,1.79,1,0
160609,LOCATION LOCATION LOCATION UWS 60's,769247,Ligia,Manhattan,Upper West Side,40.77724,0.0,Entire home/apt,200,3,10,2019-01-01,0.12,1,0
161394,Surfer room 15mins to downtown NYC!,772300,Alain,Brooklyn,Williamsburg,40.71309,0.0,Private room,90,6,3,2014-08-31,0.03,1,0
162508,Beautiful Brooklyn Oasis ,776645,Placid,Brooklyn,Crown Heights,40.67212,0.0,Entire home/apt,130,2,29,2019-06-28,0.35,1,119
163809,Cool & Spacious Harlem Artist Flat,781647,Jorin,Manhattan,Harlem,40.80523,0.0,Entire home/apt,198,5,42,2019-06-03,0.44,2,234
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",69439,Jade,Manhattan,SoHo,40.72351,0.0,Private room,140,2,54,2019-06-16,0.56,1,221
165461,Couldn't Be Closer To Columbia Uni2,867225,Rahul,Manhattan,Morningside Heights,40.80525,0.0,Private room,75,5,57,2019-01-01,0.59,2,201
166541,Spacious Quiet rm - 20mins to Midtown,793620,Yvette,Manhattan,Washington Heights,40.84468,0.0,Private room,75,2,34,2019-06-15,0.35,1,222
167013,Spacious modern studio apartment in Manhattan,306605,Daniel,Manhattan,Chelsea,40.74342,0.0,Entire home/apt,205,9,3,2018-05-13,0.04,2,76
167017,Gorgeous Duplex + Garden,795889,Adam,Brooklyn,Park Slope,40.67853,0.0,Entire home/apt,219,5,2,2014-08-31,0.03,1,0
168546,Spacious Duplex in Brownstone!,803086,Benton,Manhattan,East Harlem,40.80113,0.0,Entire home/apt,250,2,11,2016-01-02,0.12,2,68
169002,Modern Space in Charming Pre-war,805344,Alec,Manhattan,Harlem,40.82411,0.0,Private room,65,2,41,2019-06-16,0.43,2,59
169483,Very close to Downtown Awesome Private Apartment,807642,Jeffrey,Brooklyn,Gravesend,40.60452,0.0,Entire home/apt,106,7,0,2019-06-23,0.72,2,0
170420,The Happy home!,812814,Lena,Manhattan,East Harlem,40.7932,0.0,Entire home/apt,79,2,15,2016-02-15,0.16,1,0
170761,"Fort Greene, Brooklyn: Front Bedroom",67778,Doug,Brooklyn,Fort Greene,40.68768,0.0,Private room,85,2,35,2019-07-02,0.55,2,161
171776,Gorgeous 1 bdrm in huge duplex!,803086,Benton,Manhattan,Harlem,40.80224,0.0,Private room,170,2,17,2015-10-01,0.18,2,88
172700,"Sunny, cozy room in Lower East Side",302772,Cheryl,Manhattan,Lower East Side,40.71473,0.0,Private room,115,3,3,2016-02-15,0.04,2,337
172870,Large Quiet Bedroom Near Columbia U,781647,Jorin,Manhattan,Harlem,40.80518,0.0,Private room,89,5,43,2018-01-03,0.47,2,247
174527,Cozy private family home in Bushwick,833926,Kris,Brooklyn,Bushwick,40.69055,0.0,Entire home/apt,150,2,11,2018-10-28,0.46,1,0
176135,Cosy Sunny 1brm in Prospect Heights,842125,Jennifer,Brooklyn,Crown Heights,40.67505,0.0,Entire home/apt,97,3,31,2018-10-23,0.32,1,193
176653,East Village bedroom w rooftop,844862,Cj,Manhattan,East Village,40.72974,0.0,Private room,100,4,49,2019-05-07,0.51,2,43
176962,Williamsburg Home Away From Home!,846309,Dani,Brooklyn,Williamsburg,40.70925,0.0,Entire home/apt,179,4,23,2019-04-13,0.24,1,25
179741,Spring & Mulberry 2 Bedroom Apartment,314941,Tony,Manhattan,Nolita,40.72133,0.0,Entire home/apt,300,1,6,2019-06-28,0.06,3,115
187986,Comfort at Crossroads of Downtown,904833,Daniel,Manhattan,Chelsea,40.73862,0.0,Entire home/apt,250,1,2,2015-08-28,0.02,1,0
189181,Room in Chic Modern High Line Luxury- New!,912541,David,Manhattan,Chelsea,40.74695,0.0,Private room,255,4,1,2014-04-20,0.02,1,365
190267,Large Luxury Upper East Side Studio,918866,Marina,Manhattan,Upper East Side,40.76684,0.0,Entire home/apt,169,7,39,2019-07-07,0.41,1,44
190542,Chateau Style Brooklyn Loft for Singles or Couples,920542,Farrah,Brooklyn,Bedford-Stuyvesant,40.68967,0.0,Entire home/apt,160,3,42,2019-05-18,0.44,1,355
190968,Lovely Brooklyn Brownstone 1BR!,922922,Karen,Brooklyn,Prospect Heights,40.67946,0.0,Entire home/apt,215,3,33,2019-05-08,0.35,1,156
193853,Quiet Chelsea Studio w/Charm,48599,Anastasia,Manhattan,Chelsea,40.74033,0.0,Entire home/apt,149,6,23,2018-05-21,0.27,2,0
194154,Large Room Overlooking Central Park,936830,Elina,Manhattan,Upper West Side,40.7969,0.0,Private room,89,6,35,2017-06-18,0.37,1,180
195578,Loft Style Apt in Williamsburg,304493,Erika,Brooklyn,Williamsburg,40.70275,0.0,Private room,85,1,46,2018-12-30,0.97,1,59
196010,Huge Bklyn Loft w Private Roofdeck,953565,Vanessa,Brooklyn,Park Slope,40.67595,0.0,Entire home/apt,265,5,15,2015-06-14,0.16,1,0
199195,Modern Bedroom in Hamilton Heights,971075,Jabari,Manhattan,Harlem,40.82922,0.0,Private room,75,3,50,2019-03-30,0.65,2,38
200645,Best Manhattan Studio Deal!   ,933378,Edo,Manhattan,Upper East Side,40.76739,0.0,Shared room,90,1,0,2019-06-23,0.72,1,0
203901,Beautiful UES apartment,1000477,Elizabeth,Manhattan,Upper East Side,40.7694,0.0,Entire home/apt,190,1,8,2016-09-18,0.08,1,0
204833,"Great, spacious apt in Williamsburg",903686,Melanie,Brooklyn,Williamsburg,40.7093,0.0,Private room,100,6,8,2015-09-17,0.09,1,249
205735,"A Cozy Oasis in Bushwick, NY",1011426,Danielle,Brooklyn,Bushwick,40.68364,0.0,Private room,41,2,55,2019-04-30,0.59,1,286
